Id;Typ;Namn;Undertyp;Nivå;Säljvärde;Stats;Krav;Effekter;Yrke;Material;Föremål;Mynt;Tid;Handlare;Loot;Kategorier;Beskrivning
32;material;Adamantium;;-;150;-;-;-;;;;;;Kajsa Fjärdingsväg;;Exotiskt;
22;material;Sandhavsläder;;-;151;-;-;-;;;;;;Kajsa Fjärdingsväg;Drakfanatiker;Exotiskt;
66;material;Elementsav;;-;30;-;-;-;Rustningssmide 2;3 x Blodpint;;0;50;Durin Hammarhjälm;Ajakava, Harpya, Liten eldelementar, Massiv skalbagge, Pärlvaran, Skrattande Kookaburras, Slavdrivare, Stor eldelementar, Trehövdad hydra, Ökenstorm;Vätska;Utvunnen ur olika odjur sägs saven ha magiska förmågor.
54;material;Härdad lönn;;-;200;-;-;-;;;;;;;;Härdat;Härdningsprocessen för detta träslag mycket tidskrävande och noggrann. Resultatet är ett exceptionellt hanterbart stycke trä som kan böjas och bearbetas väldigt enkelt.
137;material;En adelsröst;;-;200;-;-;-;;;;;;;;;En röst på det adliga partiet av Stenhem. Fungerar också som en lott i det stora partilotteriet.
50;material;Härdad sand;;-;200;-;-;-;;;;;;;;Härdat;En mörk och mycket hård sand från ökenområdet väst om stenhem.
48;material;Cyklopöga;;-;10;-;-;-;;;;;;;Cyklop, Stengolem, Uråldrig cyklop;Unik;
47;material;Draköga;;-;175;-;-;-;;;;;;;Drakdrottning, Drakprins, Förvuxen Blå Drake, Förvuxen Grön Drake, Grön drake, Järndrake, Onyxdrake, Svart drake;Drakdel;Ett öga från en drake.
46;material;Drakben;;-;100;-;-;-;;;;;;;Blå drake, Drakdrottning, Drakprins, Förvuxen Blå Drake, Förvuxen Grön Drake, Grön drake, Gul drake, Järndrake, Onyxdrake, Röd drake, Svart drake;Drakdel;Ett ben från en drake.
45;material;Drakfjäll;;-;75;-;-;-;;;;;;;Blå drake, Drakdrottning, Drakorm, Drakprins, Drakpräst, Drakyngling, Förvuxen Blå Drake, Förvuxen Grön Drake, Grön drake, Gul drake, Järndrake, Lindorm, Onyxdrake, Röd drake, Svart drake;Drakdel;Fjäll från en drake.
44;material;Draktand;;-;150;-;-;-;;;;;;;Drakdrottning, Drakfanatiker, Drakprins, Förvuxen Blå Drake, Förvuxen Grön Drake, Grön drake, Gul drake, Järndrake, Onyxdrake, Svart drake;Drakdel;En tand från en drake.
37;material;Förstenad ros;;-;142;-;-;-;;;;;;Kajsa Fjärdingsväg;;Exotiskt;En vacker ros som blivit förstenad med okända trollkonster. En mycket kraftfull alkemisk reagent.
36;material;Pegasusfjäder;;-;180;-;-;-;;;;;;Kajsa Fjärdingsväg;;Exotiskt;En liten vit fjäder från en pegasus, given som frivillig gåva har dessa stor kraft. Tagen med våld säger legenderna att dem förbannar vem som än rör vid dem.
138;material;En knegarröst;;-;200;-;-;-;;;;;;;;;En röst på knegarpartiet i Stenhem. Fungerar också som en lott i det stora partilotteriet
96;material;Vitsippa;;-;;-;-;-;;;;;;;;;
103;material;Lila tulpan;;-;;-;-;-;;;;;;;;;
102;material;Grön tulpan;;-;;-;-;-;;;;;;;;;
90;material;Vatten från istapp;;-;;-;-;-;;;;;;;;;En smält istapp
87;material;Röd okänd vätska;;-;50;-;-;-;;;;;;;;;
86;material;Grön okänd vätska;;-;50;-;-;-;;;;;;;;;
81;material;Excellent Opal;;-;250;-;-;-;;;;;;;Apellonisk Bjorc, Bergatroll, Cervusbagge, Drakdrottning, Drakprins, Skogsrå, Tengu;;
80;material;Excellent Smaragd;;-;250;-;-;-;;;;;;;Apellonisk Bjorc, Bergatroll, Bergsrå, Cervusbagge, Drakdrottning, Drakprins, Tengu;;
79;material;Excellent Topas;;-;250;-;-;-;;;;;;;Apellonisk Bjorc, Bergatroll, Cervusbagge, Drakdrottning, Drakprins, Skogsrå, Tengu;;
78;material;Excellent Safir;;-;250;-;-;-;;;;;;;Apellonisk Bjorc, Bergatroll, Cervusbagge, Drakdrottning, Drakprins, Havsrå, Tengu;;
75;material;Opal;;-;150;-;-;-;;;;;;;Ajakava;;
74;material;Smaragd;;-;150;-;-;-;;;;;;;Pärlvaran;;
73;material;Topas;;-;150;-;-;-;;;;;;;Ajakava;;
61;material;Alvsilver;;-;100;-;-;-;Rustningssmide 4;3 x Stål;;0;100;Durin Hammarhjälm;Enorm sten, Enorm tvåhörning, Fullvuxen Silverbjörn, Förvuxen Tvåhörning, Havsrå, Kättare, Rasande svartalv, Uråldrig skogssköldpadda;Metall och mineral;Alvsilver har inget gemensamt med vanligt silver mer än färgen. Metallen är lätt, hård och oerhört lättarbetad. Namnet alvsilver är sprungen från den tid endast alver brukade materialet och det tillhörde ovanligheten bland andra raser. Numera har även andra lyckats bryta metallen, om än dock det fortfarande är relativt sällsynt med alvsilver är det ett omåttligt populärt material.
56;material;Granträ;;-;8;-;-;-;;;;;;Durin Hammarhjälm;Bandvaran, Ent, Förvuxen Ent, Goblin, Gruvtroll, Harpya, Mancinellaent, Mästerlig Goblin, Omegavarg, Rasande Goblin, Skogstroll, Trehövdad hydra, Ung Svartbjörn, Ung onkh, Uråldrig ek, Ökentroll;Trä;Granträ är vanligt, billigt och lätt att hantera.
43;material;Drakklo;;-;125;-;-;-;;;;;;;Blå drake, Drakdrottning, Drakprins, Förvuxen Blå Drake, Förvuxen Grön Drake, Grön drake, Gul drake, Järndrake, Onyxdrake, Röd drake, Svart drake;Drakdel;En klo från en drake.
124;material;Vulkanaska;;-;160;-;-;-;;;;;;Nimbao Vulkiri;;;
106;material;Trasiga Svarta Bergsstövlar;;-;350;-;-;-;;;;;;;Bergsrå;;
104;material;Trasig Skogshuva;;-;250;-;-;-;;;;;;;Skogsrå;;
